[metrics] cpu=17.0% rss=158.3MB vmem=4300.0MB latency_us(avg=80.34,max=304.23) traffic(imu_pub=172.00hz,imu_sub=172.00hz,img_pub=108.00hz,img_sub=108.00hz)
[metrics] cpu=2.0% rss=158.3MB vmem=4300.0MB latency_us(avg=62.02,max=225.32) traffic(imu_pub=200.00hz,imu_sub=200.00hz,img_pub=120.00hz,img_sub=120.00hz)
[metrics] cpu=2.0% rss=158.3MB vmem=4300.0MB latency_us(avg=69.24,max=212.85) traffic(imu_pub=200.00hz,imu_sub=200.00hz,img_pub=120.00hz,img_sub=120.00hz)
[metrics] cpu=0.0% rss=158.3MB vmem=4300.0MB latency_us(avg=68.83,max=191.90) traffic(imu_pub=200.00hz,imu_sub=200.00hz,img_pub=120.00hz,img_sub=120.00hz)
[metrics] cpu=3.0% rss=158.3MB vmem=4300.0MB latency_us(avg=64.04,max=217.44) traffic(imu_pub=200.00hz,imu_sub=200.00hz,img_pub=120.00hz,img_sub=120.00hz)
[metrics] cpu=1.0% rss=158.3MB vmem=4300.0MB latency_us(avg=65.81,max=193.49) traffic(imu_pub=200.00hz,imu_sub=200.00hz,img_pub=120.00hz,img_sub=120.00hz)
[metrics] cpu=2.0% rss=158.3MB vmem=4300.0MB latency_us(avg=80.49,max=309.60) traffic(imu_pub=200.00hz,imu_sub=200.00hz,img_pub=120.00hz,img_sub=120.00hz)
[metrics] cpu=1.0% rss=158.3MB vmem=4300.0MB latency_us(avg=66.10,max=220.63) traffic(imu_pub=201.00hz,imu_sub=201.00hz,img_pub=120.00hz,img_sub=120.00hz)
[metrics] cpu=2.0% rss=158.3MB vmem=4300.0MB latency_us(avg=80.66,max=282.10) traffic(imu_pub=200.00hz,imu_sub=200.00hz,img_pub=120.00hz,img_sub=120.00hz)
[metrics] cpu=2.0% rss=158.3MB vmem=4300.0MB latency_us(avg=81.41,max=330.93) traffic(imu_pub=201.00hz,imu_sub=201.00hz,img_pub=120.00hz,img_sub=120.00hz)
[metrics] cpu=2.0% rss=158.3MB vmem=4300.0MB latency_us(avg=75.17,max=247.64) traffic(imu_pub=200.00hz,imu_sub=200.00hz,img_pub=120.00hz,img_sub=120.00hz)
[metrics] cpu=2.0% rss=158.3MB vmem=4300.0MB latency_us(avg=72.99,max=271.80) traffic(imu_pub=200.00hz,imu_sub=200.00hz,img_pub=120.00hz,img_sub=120.00hz)
[metrics] cpu=1.0% rss=158.3MB vmem=4300.0MB latency_us(avg=72.25,max=266.34) traffic(imu_pub=205.00hz,imu_sub=205.00hz,img_pub=120.00hz,img_sub=120.00hz)
[metrics] cpu=2.0% rss=158.3MB vmem=4300.0MB latency_us(avg=64.58,max=225.10) traffic(imu_pub=201.00hz,imu_sub=201.00hz,img_pub=120.00hz,img_sub=120.00hz)
[metrics] cpu=1.0% rss=158.3MB vmem=4300.0MB latency_us(avg=63.69,max=239.14) traffic(imu_pub=202.00hz,imu_sub=202.00hz,img_pub=126.00hz,img_sub=126.00hz)
[metrics] cpu=2.0% rss=158.3MB vmem=4300.0MB latency_us(avg=69.67,max=213.71) traffic(imu_pub=203.00hz,imu_sub=203.00hz,img_pub=120.00hz,img_sub=120.00hz)
[metrics] cpu=1.0% rss=158.3MB vmem=4300.0MB latency_us(avg=73.78,max=323.68) traffic(imu_pub=203.00hz,imu_sub=203.00hz,img_pub=120.00hz,img_sub=120.00hz)
[metrics] cpu=1.0% rss=158.3MB vmem=4300.0MB latency_us(avg=79.91,max=393.05) traffic(imu_pub=200.00hz,imu_sub=200.00hz,img_pub=120.00hz,img_sub=120.00hz)
[metrics] cpu=2.0% rss=158.3MB vmem=4300.0MB latency_us(avg=68.92,max=213.82) traffic(imu_pub=205.00hz,imu_sub=205.00hz,img_pub=126.00hz,img_sub=126.00hz)
[metrics] cpu=1.0% rss=158.3MB vmem=4300.0MB latency_us(avg=74.80,max=390.68) traffic(imu_pub=200.00hz,imu_sub=200.00hz,img_pub=120.00hz,img_sub=120.00hz)
[metrics] cpu=0.0% rss=126.7MB vmem=4268.4MB latency_us(avg=97.94,max=193.30) traffic(imu_pub=8.00hz,imu_sub=8.00hz,img_pub=6.00hz,img_sub=6.00hz)
