[metrics] cpu=1.0% rss=84.4MB vmem=3716.6MB traffic(imu_pub=0.00hz,imu_sub=0.00hz,img_pub=0.00hz,img_sub=0.00hz)
[metrics] cpu=2.0% rss=87.8MB vmem=4000.3MB latency_us(avg=262.72,max=1255.25) traffic(imu_pub=0.00hz,imu_sub=180.00hz,img_pub=0.00hz,img_sub=108.00hz)
[metrics] cpu=1.0% rss=87.8MB vmem=4000.3MB latency_us(avg=206.88,max=654.33) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=2.0% rss=87.8MB vmem=4000.3MB latency_us(avg=227.45,max=620.25) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=2.0% rss=87.8MB vmem=4000.3MB latency_us(avg=227.34,max=753.81) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=1.0% rss=87.8MB vmem=4000.3MB latency_us(avg=237.87,max=675.91) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=2.0% rss=87.8MB vmem=4000.3MB latency_us(avg=238.04,max=802.53) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=3.0% rss=87.8MB vmem=4000.3MB latency_us(avg=229.30,max=944.46) traffic(imu_pub=0.00hz,imu_sub=201.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=1.0% rss=87.8MB vmem=4000.3MB latency_us(avg=235.81,max=997.25) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=2.0% rss=87.8MB vmem=4000.3MB latency_us(avg=208.59,max=688.24) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=3.0% rss=87.8MB vmem=4000.3MB latency_us(avg=279.79,max=822.79) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=2.0% rss=87.8MB vmem=4000.3MB latency_us(avg=221.39,max=865.86) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=1.0% rss=87.8MB vmem=4000.3MB latency_us(avg=249.37,max=843.51) traffic(imu_pub=0.00hz,imu_sub=201.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=2.0% rss=87.8MB vmem=4000.3MB latency_us(avg=226.28,max=632.47) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=2.0% rss=87.8MB vmem=4000.3MB latency_us(avg=183.53,max=635.55) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=1.0% rss=87.8MB vmem=4000.3MB latency_us(avg=210.53,max=811.80) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=3.0% rss=87.8MB vmem=4000.3MB latency_us(avg=191.40,max=937.71) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=1.0% rss=87.8MB vmem=4000.3MB latency_us(avg=213.37,max=706.58) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=2.0% rss=87.8MB vmem=4000.3MB latency_us(avg=223.01,max=656.59) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=2.0% rss=87.8MB vmem=4000.3MB latency_us(avg=205.40,max=805.81) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=2.0% rss=87.8MB vmem=4000.3MB latency_us(avg=234.60,max=970.45) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
