0 [W] "Config::global_config()" 
| No config file was loaded, a config with default values will be used. 
[metrics] cpu=1.0% rss=11.1MB vmem=94.1MB traffic(imu_pub=0.00hz,imu_sub=0.00hz,img_pub=0.00hz,img_sub=0.00hz)
[metrics] cpu=0.0% rss=11.1MB vmem=965.0MB latency_us(avg=2419.53,max=5515.79) traffic(imu_pub=0.00hz,imu_sub=192.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=1.0% rss=11.1MB vmem=965.0MB latency_us(avg=2689.99,max=5645.25) traffic(imu_pub=0.00hz,imu_sub=203.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=0.0% rss=11.1MB vmem=965.0MB latency_us(avg=2847.43,max=5555.50) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=0.0% rss=11.1MB vmem=965.0MB latency_us(avg=2665.61,max=5517.02) traffic(imu_pub=0.00hz,imu_sub=201.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=1.0% rss=11.1MB vmem=965.0MB latency_us(avg=2831.72,max=5499.11) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=0.0% rss=11.1MB vmem=965.0MB latency_us(avg=3047.75,max=5691.63) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=1.0% rss=11.1MB vmem=965.0MB latency_us(avg=2862.60,max=5721.81) traffic(imu_pub=0.00hz,imu_sub=201.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=0.0% rss=11.1MB vmem=965.0MB latency_us(avg=2552.02,max=7840.47) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=1.0% rss=11.1MB vmem=965.0MB latency_us(avg=2932.09,max=5582.56) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=0.0% rss=11.1MB vmem=965.0MB latency_us(avg=2558.56,max=5647.83) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=0.0% rss=11.1MB vmem=965.0MB latency_us(avg=2672.90,max=5632.56) traffic(imu_pub=0.00hz,imu_sub=201.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=0.0% rss=11.1MB vmem=965.0MB latency_us(avg=2789.46,max=5381.58) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=1.0% rss=11.1MB vmem=965.0MB latency_us(avg=2715.13,max=5362.68) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=0.0% rss=11.1MB vmem=965.0MB latency_us(avg=2653.39,max=5401.16) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=2.0% rss=11.1MB vmem=965.0MB latency_us(avg=2698.79,max=5367.49) traffic(imu_pub=0.00hz,imu_sub=201.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=0.0% rss=11.1MB vmem=965.0MB latency_us(avg=2701.79,max=5406.55) traffic(imu_pub=0.00hz,imu_sub=206.00hz,img_pub=0.00hz,img_sub=126.00hz)
[metrics] cpu=1.0% rss=11.1MB vmem=965.0MB latency_us(avg=2553.76,max=5445.29) traffic(imu_pub=0.00hz,imu_sub=203.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=0.0% rss=11.1MB vmem=965.0MB latency_us(avg=2611.63,max=5252.34) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=0.0% rss=11.1MB vmem=965.0MB latency_us(avg=2844.02,max=5657.34) traffic(imu_pub=0.00hz,imu_sub=189.00hz,img_pub=0.00hz,img_sub=114.00hz)
