[metrics] cpu=0.0% rss=4.2MB vmem=230.9MB traffic(imu_pub=0.00hz,imu_sub=0.00hz,img_pub=0.00hz,img_sub=0.00hz)
[metrics] cpu=8.0% rss=12.2MB vmem=230.9MB latency_us(avg=1467.00,max=7725.05) traffic(imu_pub=0.00hz,imu_sub=192.00hz,img_pub=0.00hz,img_sub=114.00hz)
[metrics] cpu=7.0% rss=12.4MB vmem=230.9MB latency_us(avg=1346.28,max=7147.78) traffic(imu_pub=0.00hz,imu_sub=201.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=8.8% rss=12.4MB vmem=230.9MB latency_us(avg=1591.49,max=7420.05) traffic(imu_pub=0.00hz,imu_sub=204.00hz,img_pub=0.00hz,img_sub=126.00hz)
[metrics] cpu=7.0% rss=12.4MB vmem=230.9MB latency_us(avg=1369.29,max=6787.83) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=9.0% rss=12.4MB vmem=230.9MB latency_us(avg=1458.22,max=7021.00) traffic(imu_pub=0.00hz,imu_sub=201.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=6.8% rss=12.4MB vmem=230.9MB latency_us(avg=1384.26,max=7811.44) traffic(imu_pub=0.00hz,imu_sub=206.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=7.8% rss=12.4MB vmem=230.9MB latency_us(avg=1454.62,max=7054.51) traffic(imu_pub=0.00hz,imu_sub=204.00hz,img_pub=0.00hz,img_sub=126.00hz)
[metrics] cpu=8.0% rss=12.4MB vmem=230.9MB latency_us(avg=1434.13,max=7508.28) traffic(imu_pub=0.00hz,imu_sub=201.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=8.0% rss=12.4MB vmem=230.9MB latency_us(avg=1353.11,max=6682.33) traffic(imu_pub=0.00hz,imu_sub=201.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=7.0% rss=12.4MB vmem=230.9MB latency_us(avg=1232.29,max=5516.36) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=8.0% rss=12.4MB vmem=230.9MB latency_us(avg=1380.69,max=6236.08) traffic(imu_pub=0.00hz,imu_sub=202.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=8.0% rss=12.4MB vmem=230.9MB latency_us(avg=1346.05,max=6107.22) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=7.0% rss=12.4MB vmem=230.9MB latency_us(avg=1335.65,max=5878.03) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=8.0% rss=12.4MB vmem=230.9MB latency_us(avg=1442.30,max=7326.49) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=8.0% rss=12.4MB vmem=230.9MB latency_us(avg=1359.11,max=7189.07) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=8.0% rss=12.4MB vmem=230.9MB latency_us(avg=1371.99,max=6623.27) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=7.0% rss=12.4MB vmem=230.9MB latency_us(avg=1381.65,max=5948.39) traffic(imu_pub=0.00hz,imu_sub=201.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=8.0% rss=12.4MB vmem=230.9MB latency_us(avg=1302.40,max=6680.91) traffic(imu_pub=0.00hz,imu_sub=200.00hz,img_pub=0.00hz,img_sub=120.00hz)
[metrics] cpu=7.0% rss=12.5MB vmem=294.9MB latency_us(avg=1308.33,max=5858.32) traffic(imu_pub=0.00hz,imu_sub=182.00hz,img_pub=0.00hz,img_sub=108.00hz)
